country,lawful_rate,cluster,n_responses,rank
AFG,0.5,0,8,Top 10
AND,0.5,1,8,Top 10
MDG,0.5,0,8,Top 10
MNE,0.4411764705882353,0,34,Top 10
LKA,0.43103448275862066,0,58,Top 10
BRN,0.4230769230769231,1,26,Top 10
MCO,0.4166666666666667,0,12,Top 10
SLV,0.4166666666666667,2,72,Top 10
IMN,0.40625,0,32,Top 10
KWT,0.4,1,90,Top 10
BHS,0.25,2,28,Bottom 10
GGY,0.25,2,20,Bottom 10
GUM,0.25,0,20,Bottom 10
NGA,0.25,0,16,Bottom 10
PYF,0.2647058823529412,2,34,Bottom 10
UZB,0.2692307692307692,0,52,Bottom 10
TTO,0.27941176470588236,0,68,Bottom 10
JEY,0.2857142857142857,0,28,Bottom 10
ALB,0.2916666666666667,0,72,Bottom 10
QAT,0.29245283018867924,0,106,Bottom 10
